Model,Date,Forecast_CY,Forecast_NCY,State,Country,Forecast,cumForecast
OUTLANDER 450,2020-07-13,7,2,GA,US,9,1167
OUTLANDER 1000,2020-07-20,8,9,GA,US,17,1200
OUTLANDER 850,2020-07-20,3,10,GA,US,13,1159
OUTLANDER 450,2020-07-20,2,7,GA,US,9,1176
OUTLANDER 1000,2020-07-27,14,12,GA,US,26,1226
OUTLANDER 850,2020-07-27,6,13,GA,US,19,1178
OUTLANDER 450,2020-07-27,5,14,GA,US,19,1195
OUTLANDER 1000,2020-08-03,9,13,GA,US,22,1248
OUTLANDER 850,2020-08-03,7,8,GA,US,15,1193
OUTLANDER 450,2020-08-03,1,6,GA,US,7,1202
OUTLANDER 1000,2020-08-10,8,7,GA,US,15,1263
OUTLANDER 850,2020-08-10,11,3,GA,US,14,1207
OUTLANDER 450,2020-08-10,7,4,GA,US,11,1213
OUTLANDER 1000,2020-08-17,6,11,GA,US,17,1280
OUTLANDER 850,2020-08-17,15,8,GA,US,23,1230
OUTLANDER 450,2020-08-17,3,9,GA,US,12,1225
OUTLANDER 1000,2020-08-24,6,11,GA,US,17,1297
OUTLANDER 850,2020-08-24,4,5,GA,US,9,1239
OUTLANDER 450,2020-08-24,11,2,GA,US,13,1238
OUTLANDER 1000,2020-08-31,10,2,GA,US,12,1309
OUTLANDER 850,2020-08-31,3,4,GA,US,7,1246
OUTLANDER 450,2020-08-31,10,15,GA,US,25,1263
OUTLANDER 1000,2020-09-07,12,13,GA,US,25,1334
OUTLANDER 850,2020-09-07,3,6,GA,US,9,1255
OUTLANDER 450,2020-09-07,7,11,GA,US,18,1281
OUTLANDER 1000,2020-09-14,4,15,GA,US,19,1353
OUTLANDER 850,2020-09-14,11,12,GA,US,23,1278
OUTLANDER 450,2020-09-14,8,13,GA,US,21,1302
OUTLANDER 1000,2020-09-21,14,12,GA,US,26,1379
OUTLANDER 850,2020-09-21,14,14,GA,US,28,1306
OUTLANDER 450,2020-09-21,0,13,GA,US,13,1315
OUTLANDER 1000,2020-09-28,8,9,GA,US,17,1396
OUTLANDER 850,2020-09-28,3,7,GA,US,10,1316
OUTLANDER 450,2020-09-28,11,11,GA,US,22,1337
OUTLANDER 1000,2020-10-05,4,5,GA,US,9,1405
OUTLANDER 850,2020-10-05,9,1,GA,US,10,1326
OUTLANDER 450,2020-10-05,3,10,GA,US,13,1350
OUTLANDER 1000,2020-10-12,9,12,GA,US,21,1426
OUTLANDER 850,2020-10-12,12,13,GA,US,25,1351
OUTLANDER 450,2020-10-12,4,1,GA,US,5,1355
OUTLANDER 1000,2020-10-19,14,9,GA,US,23,1449
OUTLANDER 850,2020-10-19,1,13,GA,US,14,1365
OUTLANDER 450,2020-10-19,9,10,GA,US,19,1374
OUTLANDER 1000,2020-10-26,10,5,GA,US,15,1464
OUTLANDER 850,2020-10-26,9,10,GA,US,19,1384
OUTLANDER 450,2020-10-26,11,7,GA,US,18,1392
OUTLANDER 1000,2020-11-02,6,10,GA,US,16,1480
OUTLANDER 850,2020-11-02,8,1,GA,US,9,1393
OUTLANDER 450,2020-11-02,5,7,GA,US,12,1404
OUTLANDER 1000,2020-11-09,6,13,GA,US,19,1499
OUTLANDER 850,2020-11-09,5,1,GA,US,6,1399
OUTLANDER 450,2020-11-09,10,7,GA,US,17,1421
OUTLANDER 1000,2020-11-16,7,5,GA,US,12,1511
OUTLANDER 850,2020-11-16,5,13,GA,US,18,1417
OUTLANDER 450,2020-11-16,1,3,GA,US,4,1425
OUTLANDER 1000,2020-11-23,12,13,GA,US,25,1536
OUTLANDER 850,2020-11-23,8,1,GA,US,9,1426
OUTLANDER 450,2020-11-23,10,7,GA,US,17,1442
OUTLANDER 1000,2020-11-30,7,0,GA,US,7,1543
OUTLANDER 850,2020-11-30,2,7,GA,US,9,1435
OUTLANDER 450,2020-11-30,14,2,GA,US,16,1458
OUTLANDER 1000,2020-12-07,5,14,GA,US,19,1562
OUTLANDER 850,2020-12-07,13,4,GA,US,17,1452
OUTLANDER 450,2020-12-07,3,6,GA,US,9,1467
OUTLANDER 1000,2020-12-14,6,14,GA,US,20,1582
OUTLANDER 850,2020-12-14,2,14,GA,US,16,1468
OUTLANDER 450,2020-12-14,10,1,GA,US,11,1478
OUTLANDER 1000,2020-12-21,5,10,GA,US,15,1597
OUTLANDER 850,2020-12-21,11,13,GA,US,24,1492
OUTLANDER 450,2020-12-21,3,10,GA,US,13,1491
OUTLANDER 1000,2020-12-28,10,9,GA,US,19,1616
OUTLANDER 850,2020-12-28,7,9,GA,US,16,1508
OUTLANDER 450,2020-12-28,4,14,GA,US,18,1509
OUTLANDER 1000,2021-01-04,5,12,GA,US,17,1633
OUTLANDER 850,2021-01-04,1,12,GA,US,13,1521
OUTLANDER 450,2021-01-04,5,10,GA,US,15,1524
OUTLANDER 1000,2021-01-11,4,4,GA,US,8,1641
OUTLANDER 850,2021-01-11,5,13,GA,US,18,1539
OUTLANDER 450,2021-01-11,7,2,GA,US,9,1533
OUTLANDER 1000,2021-01-18,5,13,GA,US,18,1659
OUTLANDER 850,2021-01-18,6,8,GA,US,14,1553
OUTLANDER 450,2021-01-18,2,9,GA,US,11,1544
OUTLANDER 1000,2021-01-25,0,9,GA,US,9,1668
OUTLANDER 850,2021-01-25,11,11,GA,US,22,1575
OUTLANDER 450,2021-01-25,12,3,GA,US,15,1559
OUTLANDER 1000,2021-02-01,3,12,GA,US,15,1683
OUTLANDER 850,2021-02-01,8,4,GA,US,12,1587
OUTLANDER 450,2021-02-01,1,9,GA,US,10,1569
OUTLANDER 1000,2021-02-08,11,8,GA,US,19,1702
OUTLANDER 850,2021-02-08,11,1,GA,US,12,1599
OUTLANDER 450,2021-02-08,10,2,GA,US,12,1581
OUTLANDER 1000,2021-02-15,7,5,GA,US,12,1714
OUTLANDER 850,2021-02-15,12,10,GA,US,22,1621
OUTLANDER 450,2021-02-15,7,13,GA,US,20,1601
OUTLANDER 1000,2021-02-22,5,11,GA,US,16,1730
OUTLANDER 850,2021-02-22,7,14,GA,US,21,1642
OUTLANDER 450,2021-02-22,13,6,GA,US,19,1620
OUTLANDER 1000,2021-03-01,1,12,GA,US,13,1743
OUTLANDER 850,2021-03-01,8,12,GA,US,20,1662
OUTLANDER 450,2021-03-01,5,14,GA,US,19,1639
OUTLANDER 1000,2021-03-08,7,9,GA,US,16,1759
OUTLANDER 850,2021-03-08,7,10,GA,US,17,1679
OUTLANDER 450,2021-03-08,5,9,GA,US,14,1653
OUTLANDER 1000,2021-03-15,0,13,GA,US,13,1772
OUTLANDER 850,2021-03-15,14,11,GA,US,25,1704
OUTLANDER 450,2021-03-15,8,2,GA,US,10,1663
OUTLANDER 1000,2021-03-22,6,7,GA,US,13,1785
OUTLANDER 850,2021-03-22,3,14,GA,US,17,1721
OUTLANDER 450,2021-03-22,6,3,GA,US,9,1672
OUTLANDER 1000,2021-03-29,11,4,GA,US,15,1800
OUTLANDER 850,2021-03-29,1,15,GA,US,16,1737
OUTLANDER 450,2021-03-29,1,1,GA,US,2,1674
OUTLANDER 1000,2021-04-05,4,9,GA,US,13,1813
OUTLANDER 850,2021-04-05,14,11,GA,US,25,1762
OUTLANDER 450,2021-04-05,0,3,GA,US,3,1677
OUTLANDER 1000,2021-04-12,8,6,GA,US,14,1827
OUTLANDER 850,2021-04-12,13,4,GA,US,17,1779
OUTLANDER 450,2021-04-12,2,6,GA,US,8,1685
OUTLANDER 1000,2021-04-19,15,12,GA,US,27,1854
OUTLANDER 850,2021-04-19,6,5,GA,US,11,1790
OUTLANDER 450,2021-04-19,13,0,GA,US,13,1698
OUTLANDER 1000,2021-04-26,13,10,GA,US,23,1877
OUTLANDER 850,2021-04-26,9,1,GA,US,10,1800
OUTLANDER 450,2021-04-26,3,15,GA,US,18,1716
OUTLANDER 1000,2021-05-03,8,2,GA,US,10,1887
OUTLANDER 850,2021-05-03,5,15,GA,US,20,1820
OUTLANDER 450,2021-05-03,14,1,GA,US,15,1731
OUTLANDER 1000,2021-05-10,9,3,GA,US,12,1899
OUTLANDER 850,2021-05-10,14,0,GA,US,14,1834
OUTLANDER 450,2021-05-10,10,6,GA,US,16,1747
OUTLANDER 1000,2021-05-17,11,12,GA,US,23,1922
OUTLANDER 850,2021-05-17,2,11,GA,US,13,1847
OUTLANDER 450,2021-05-17,12,15,GA,US,27,1774
OUTLANDER 1000,2021-05-24,9,4,GA,US,13,1935
OUTLANDER 850,2021-05-24,15,7,GA,US,22,1869
OUTLANDER 450,2021-05-24,11,2,GA,US,13,1787
OUTLANDER 1000,2021-05-31,8,14,GA,US,22,1957
OUTLANDER 850,2021-05-31,13,5,GA,US,18,1887
OUTLANDER 450,2021-05-31,10,14,GA,US,24,1811
OUTLANDER 1000,2021-06-07,4,6,GA,US,10,1967
OUTLANDER 850,2021-06-07,14,0,GA,US,14,1901
OUTLANDER 450,2021-06-07,9,9,GA,US,18,1829
OUTLANDER 1000,2021-06-14,9,12,GA,US,21,1988
OUTLANDER 850,2021-06-14,9,5,GA,US,14,1915
OUTLANDER 450,2021-06-14,5,0,GA,US,5,1834
OUTLANDER 1000,2021-06-21,9,8,GA,US,17,2005
OUTLANDER 850,2021-06-21,9,1,GA,US,10,1925
OUTLANDER 450,2021-06-21,3,5,GA,US,8,1842
OUTLANDER 1000,2021-06-28,11,1,GA,US,12,2017
OUTLANDER 850,2021-06-28,8,13,GA,US,21,1946
OUTLANDER 450,2021-06-28,5,9,GA,US,14,1856
OUTLANDER 1000,2021-07-05,9,8,GA,US,17,2034
OUTLANDER 850,2021-07-05,7,0,GA,US,7,1953
OUTLANDER 450,2021-07-05,6,5,GA,US,11,1867
OUTLANDER 1000,2021-07-12,4,12,GA,US,16,2050
OUTLANDER 850,2021-07-12,4,4,GA,US,8,1961
OUTLANDER 450,2021-07-12,7,6,GA,US,13,1880
OUTLANDER 1000,2021-07-19,4,15,GA,US,19,2069
OUTLANDER 850,2021-07-19,2,1,GA,US,3,1964
OUTLANDER 450,2021-07-19,11,14,GA,US,25,1905
OUTLANDER 1000,2021-07-26,10,12,GA,US,22,2091
OUTLANDER 850,2021-07-26,2,2,GA,US,4,1968
OUTLANDER 450,2021-07-26,6,0,GA,US,6,1911
OUTLANDER 1000,2021-08-02,3,2,GA,US,5,2096
OUTLANDER 850,2021-08-02,1,8,GA,US,9,1977
OUTLANDER 450,2021-08-02,9,11,GA,US,20,1931
OUTLANDER 1000,2021-08-09,6,9,GA,US,15,2111
OUTLANDER 850,2021-08-09,10,7,GA,US,17,1994
OUTLANDER 450,2021-08-09,13,2,GA,US,15,1946
OUTLANDER 1000,2021-08-16,13,13,GA,US,26,2137
OUTLANDER 850,2021-08-16,12,0,GA,US,12,2006
OUTLANDER 450,2021-08-16,4,0,GA,US,4,1950
OUTLANDER 1000,2021-08-23,12,12,GA,US,24,2161
OUTLANDER 850,2021-08-23,15,0,GA,US,15,2021
OUTLANDER 450,2021-08-23,2,6,GA,US,8,1958
OUTLANDER 1000,2021-08-30,11,1,GA,US,12,2173
OUTLANDER 850,2021-08-30,0,3,GA,US,3,2024
OUTLANDER 450,2021-08-30,11,9,GA,US,20,1978
OUTLANDER 1000,2021-09-06,11,10,GA,US,21,2194
OUTLANDER 850,2021-09-06,4,0,GA,US,4,2028
OUTLANDER 450,2021-09-06,13,4,GA,US,17,1995
OUTLANDER 1000,2021-09-13,13,1,GA,US,14,2208
OUTLANDER 850,2021-09-13,2,8,GA,US,10,2038
OUTLANDER 450,2021-09-13,14,7,GA,US,21,2016
OUTLANDER 1000,2021-09-20,4,12,GA,US,16,2224
OUTLANDER 850,2021-09-20,8,13,GA,US,21,2059
OUTLANDER 450,2021-09-20,15,15,GA,US,30,2046
OUTLANDER 1000,2021-09-27,10,15,GA,US,25,2249
OUTLANDER 850,2021-09-27,12,11,GA,US,23,2082
OUTLANDER 450,2021-09-27,7,6,GA,US,13,2059
OUTLANDER 1000,2021-10-04,4,13,GA,US,17,2266
OUTLANDER 850,2021-10-04,11,13,GA,US,24,2106
OUTLANDER 450,2021-10-04,2,3,GA,US,5,2064
OUTLANDER 1000,2021-10-11,0,9,GA,US,9,2275
OUTLANDER 850,2021-10-11,13,9,GA,US,22,2128
OUTLANDER 450,2021-10-11,15,11,GA,US,26,2090
OUTLANDER 1000,2021-10-18,14,6,GA,US,20,2295
OUTLANDER 850,2021-10-18,0,2,GA,US,2,2130
OUTLANDER 450,2021-10-18,8,10,GA,US,18,2108
OUTLANDER 1000,2021-10-25,9,14,GA,US,23,2318
OUTLANDER 850,2021-10-25,4,14,GA,US,18,2148
OUTLANDER 450,2021-10-25,5,2,GA,US,7,2115
OUTLANDER 1000,2021-11-01,10,14,GA,US,24,2342
OUTLANDER 850,2021-11-01,1,2,GA,US,3,2151
OUTLANDER 450,2021-11-01,13,14,GA,US,27,2142
OUTLANDER 1000,2021-11-08,8,14,GA,US,22,2364
OUTLANDER 850,2021-11-08,2,3,GA,US,5,2156
OUTLANDER 450,2021-11-08,9,8,GA,US,17,2159
OUTLANDER 1000,2021-11-15,3,1,GA,US,4,2368
OUTLANDER 850,2021-11-15,3,2,GA,US,5,2161
OUTLANDER 450,2021-11-15,8,14,GA,US,22,2181
OUTLANDER 1000,2021-11-22,10,15,GA,US,25,2393
OUTLANDER 850,2021-11-22,3,7,GA,US,10,2171
OUTLANDER 450,2021-11-22,10,15,GA,US,25,2206
OUTLANDER 1000,2021-11-29,3,6,GA,US,9,2402
OUTLANDER 850,2021-11-29,11,11,GA,US,22,2193
OUTLANDER 450,2021-11-29,1,12,GA,US,13,2219
OUTLANDER 1000,2021-12-06,11,1,GA,US,12,2414
OUTLANDER 850,2021-12-06,12,7,GA,US,19,2212
OUTLANDER 450,2021-12-06,4,0,GA,US,4,2223
OUTLANDER 1000,2021-12-13,12,14,GA,US,26,2440
OUTLANDER 850,2021-12-13,7,3,GA,US,10,2222
OUTLANDER 450,2021-12-13,14,13,GA,US,27,2250
OUTLANDER 1000,2021-12-20,12,14,GA,US,26,2466
OUTLANDER 850,2021-12-20,14,0,GA,US,14,2236
OUTLANDER 450,2021-12-20,12,1,GA,US,13,2263
OUTLANDER 1000,2021-12-27,11,5,GA,US,16,2482
OUTLANDER 850,2021-12-27,3,15,GA,US,18,2254
OUTLANDER 450,2021-12-27,13,13,GA,US,26,2289
OUTLANDER 1000,2019-01-07,2,4,HI,US,6,6
OUTLANDER 850,2019-01-07,14,8,HI,US,22,22
OUTLANDER 450,2019-01-07,8,4,HI,US,12,12
OUTLANDER 1000,2019-01-14,1,14,HI,US,15,21
OUTLANDER 850,2019-01-14,9,6,HI,US,15,37
OUTLANDER 450,2019-01-14,14,1,HI,US,15,27
OUTLANDER 1000,2019-01-21,11,1,HI,US,12,33
OUTLANDER 850,2019-01-21,10,13,HI,US,23,60
OUTLANDER 450,2019-01-21,6,10,HI,US,16,43
OUTLANDER 1000,2019-01-28,6,9,HI,US,15,48
OUTLANDER 850,2019-01-28,2,12,HI,US,14,74
OUTLANDER 450,2019-01-28,11,11,HI,US,22,65
OUTLANDER 1000,2019-02-04,10,11,HI,US,21,69
OUTLANDER 850,2019-02-04,11,5,HI,US,16,90
OUTLANDER 450,2019-02-04,7,10,HI,US,17,82
OUTLANDER 1000,2019-02-11,4,4,HI,US,8,77
OUTLANDER 850,2019-02-11,13,9,HI,US,22,112
OUTLANDER 450,2019-02-11,7,1,HI,US,8,90
OUTLANDER 1000,2019-02-18,11,10,HI,US,21,98
OUTLANDER 850,2019-02-18,14,3,HI,US,17,129
OUTLANDER 450,2019-02-18,3,7,HI,US,10,100
OUTLANDER 1000,2019-02-25,10,3,HI,US,13,111
OUTLANDER 850,2019-02-25,0,14,HI,US,14,143
OUTLANDER 450,2019-02-25,10,3,HI,US,13,113
OUTLANDER 1000,2019-03-04,9,7,HI,US,16,127
OUTLANDER 850,2019-03-04,14,5,HI,US,19,162
OUTLANDER 450,2019-03-04,12,8,HI,US,20,133
OUTLANDER 1000,2019-03-11,7,5,HI,US,12,139
OUTLANDER 850,2019-03-11,12,5,HI,US,17,179
OUTLANDER 450,2019-03-11,0,10,HI,US,10,143
OUTLANDER 1000,2019-03-18,5,13,HI,US,18,157
OUTLANDER 850,2019-03-18,5,0,HI,US,5,184
OUTLANDER 450,2019-03-18,3,12,HI,US,15,158
OUTLANDER 1000,2019-03-25,7,13,HI,US,20,177
OUTLANDER 850,2019-03-25,6,6,HI,US,12,196
OUTLANDER 450,2019-03-25,2,1,HI,US,3,161
OUTLANDER 1000,2019-04-01,8,10,HI,US,18,195
OUTLANDER 850,2019-04-01,3,7,HI,US,10,206
OUTLANDER 450,2019-04-01,8,3,HI,US,11,172
OUTLANDER 1000,2019-04-08,11,2,HI,US,13,208
OUTLANDER 850,2019-04-08,5,9,HI,US,14,220
OUTLANDER 450,2019-04-08,3,14,HI,US,17,189
OUTLANDER 1000,2019-04-15,5,12,HI,US,17,225
OUTLANDER 850,2019-04-15,2,11,HI,US,13,233
OUTLANDER 450,2019-04-15,2,6,HI,US,8,197
OUTLANDER 1000,2019-04-22,14,5,HI,US,19,244
OUTLANDER 850,2019-04-22,1,0,HI,US,1,234
OUTLANDER 450,2019-04-22,6,2,HI,US,8,205
OUTLANDER 1000,2019-04-29,13,8,HI,US,21,265
OUTLANDER 850,2019-04-29,10,4,HI,US,14,248
OUTLANDER 450,2019-04-29,3,2,HI,US,5,210
OUTLANDER 1000,2019-05-06,14,0,HI,US,14,279
OUTLANDER 850,2019-05-06,5,12,HI,US,17,265
OUTLANDER 450,2019-05-06,7,12,HI,US,19,229
OUTLANDER 1000,2019-05-13,12,9,HI,US,21,300
OUTLANDER 850,2019-05-13,15,2,HI,US,17,282
OUTLANDER 450,2019-05-13,13,7,HI,US,20,249
OUTLANDER 1000,2019-05-20,14,6,HI,US,20,320
OUTLANDER 850,2019-05-20,12,5,HI,US,17,299
OUTLANDER 450,2019-05-20,8,2,HI,US,10,259
OUTLANDER 1000,2019-05-27,7,14,HI,US,21,341
OUTLANDER 850,2019-05-27,1,9,HI,US,10,309
OUTLANDER 450,2019-05-27,10,2,HI,US,12,271
OUTLANDER 1000,2019-06-03,0,13,HI,US,13,354
OUTLANDER 850,2019-06-03,4,2,HI,US,6,315
OUTLANDER 450,2019-06-03,4,0,HI,US,4,275
OUTLANDER 1000,2019-06-10,10,12,HI,US,22,376
OUTLANDER 850,2019-06-10,14,15,HI,US,29,344
OUTLANDER 450,2019-06-10,4,13,HI,US,17,292
OUTLANDER 1000,2019-06-17,10,1,HI,US,11,387
OUTLANDER 850,2019-06-17,6,10,HI,US,16,360
OUTLANDER 450,2019-06-17,13,6,HI,US,19,311
OUTLANDER 1000,2019-06-24,9,10,HI,US,19,406
OUTLANDER 850,2019-06-24,6,1,HI,US,7,367
OUTLANDER 450,2019-06-24,6,5,HI,US,11,322
OUTLANDER 1000,2019-07-01,11,8,HI,US,19,425
OUTLANDER 850,2019-07-01,7,9,HI,US,16,383
OUTLANDER 450,2019-07-01,3,4,HI,US,7,329
OUTLANDER 1000,2019-07-08,9,10,HI,US,19,444
OUTLANDER 850,2019-07-08,2,5,HI,US,7,390
OUTLANDER 450,2019-07-08,8,4,HI,US,12,341
OUTLANDER 1000,2019-07-15,8,9,HI,US,17,461
OUTLANDER 850,2019-07-15,3,5,HI,US,8,398
OUTLANDER 450,2019-07-15,6,10,HI,US,16,357
OUTLANDER 1000,2019-07-22,8,8,HI,US,16,477
OUTLANDER 850,2019-07-22,13,2,HI,US,15,413
OUTLANDER 450,2019-07-22,8,11,HI,US,19,376
OUTLANDER 1000,2019-07-29,6,3,HI,US,9,486
OUTLANDER 850,2019-07-29,7,8,HI,US,15,428
OUTLANDER 450,2019-07-29,14,8,HI,US,22,398
OUTLANDER 1000,2019-08-05,1,0,HI,US,1,487
OUTLANDER 850,2019-08-05,7,4,HI,US,11,439
OUTLANDER 450,2019-08-05,12,6,HI,US,18,416
OUTLANDER 1000,2019-08-12,8,8,HI,US,16,503
OUTLANDER 850,2019-08-12,2,1,HI,US,3,442
OUTLANDER 450,2019-08-12,14,5,HI,US,19,435
OUTLANDER 1000,2019-08-19,8,7,HI,US,15,518
OUTLANDER 850,2019-08-19,15,1,HI,US,16,458
OUTLANDER 450,2019-08-19,5,12,HI,US,17,452
OUTLANDER 1000,2019-08-26,12,5,HI,US,17,535
OUTLANDER 850,2019-08-26,6,12,HI,US,18,476
OUTLANDER 450,2019-08-26,3,8,HI,US,11,463
OUTLANDER 1000,2019-09-02,0,2,HI,US,2,537
OUTLANDER 850,2019-09-02,13,3,HI,US,16,492
OUTLANDER 450,2019-09-02,11,12,HI,US,23,486
OUTLANDER 1000,2019-09-09,8,12,HI,US,20,557
OUTLANDER 850,2019-09-09,11,13,HI,US,24,516
OUTLANDER 450,2019-09-09,11,7,HI,US,18,504
OUTLANDER 1000,2019-09-16,9,6,HI,US,15,572
OUTLANDER 850,2019-09-16,6,1,HI,US,7,523
OUTLANDER 450,2019-09-16,8,1,HI,US,9,513
OUTLANDER 1000,2019-09-23,10,1,HI,US,11,583
OUTLANDER 850,2019-09-23,10,11,HI,US,21,544
OUTLANDER 450,2019-09-23,7,13,HI,US,20,533
OUTLANDER 1000,2019-09-30,12,5,HI,US,17,600
OUTLANDER 850,2019-09-30,5,11,HI,US,16,560
OUTLANDER 450,2019-09-30,12,13,HI,US,25,558
OUTLANDER 1000,2019-10-07,4,10,HI,US,14,614
OUTLANDER 850,2019-10-07,2,7,HI,US,9,569
OUTLANDER 450,2019-10-07,3,5,HI,US,8,566
OUTLANDER 1000,2019-10-14,10,0,HI,US,10,624
OUTLANDER 850,2019-10-14,5,6,HI,US,11,580
OUTLANDER 450,2019-10-14,8,1,HI,US,9,575
OUTLANDER 1000,2019-10-21,1,5,HI,US,6,630
OUTLANDER 850,2019-10-21,14,4,HI,US,18,598
OUTLANDER 450,2019-10-21,11,4,HI,US,15,590
OUTLANDER 1000,2019-10-28,11,11,HI,US,22,652
OUTLANDER 850,2019-10-28,0,2,HI,US,2,600
OUTLANDER 450,2019-10-28,0,7,HI,US,7,597
OUTLANDER 1000,2019-11-04,2,5,HI,US,7,659
OUTLANDER 850,2019-11-04,4,5,HI,US,9,609
OUTLANDER 450,2019-11-04,4,6,HI,US,10,607
OUTLANDER 1000,2019-11-11,10,5,HI,US,15,674
OUTLANDER 850,2019-11-11,4,11,HI,US,15,624
OUTLANDER 450,2019-11-11,8,3,HI,US,11,618
OUTLANDER 1000,2019-11-18,8,13,HI,US,21,695
OUTLANDER 850,2019-11-18,3,6,HI,US,9,633
OUTLANDER 450,2019-11-18,2,5,HI,US,7,625
OUTLANDER 1000,2019-11-25,10,8,HI,US,18,713
OUTLANDER 850,2019-11-25,4,9,HI,US,13,646
OUTLANDER 450,2019-11-25,12,7,HI,US,19,644
OUTLANDER 1000,2019-12-02,10,10,HI,US,20,733
OUTLANDER 850,2019-12-02,14,14,HI,US,28,674
OUTLANDER 450,2019-12-02,4,3,HI,US,7,651
OUTLANDER 1000,2019-12-09,13,14,HI,US,27,760
OUTLANDER 850,2019-12-09,2,6,HI,US,8,682
OUTLANDER 450,2019-12-09,4,15,HI,US,19,670
OUTLANDER 1000,2019-12-16,4,13,HI,US,17,777
OUTLANDER 850,2019-12-16,15,5,HI,US,20,702
OUTLANDER 450,2019-12-16,14,12,HI,US,26,696
OUTLANDER 1000,2019-12-23,7,14,HI,US,21,798
OUTLANDER 850,2019-12-23,13,7,HI,US,20,722
OUTLANDER 450,2019-12-23,11,6,HI,US,17,713
OUTLANDER 1000,2019-12-30,1,15,HI,US,16,814
OUTLANDER 850,2019-12-30,14,13,HI,US,27,749
OUTLANDER 450,2019-12-30,7,4,HI,US,11,724
OUTLANDER 1000,2020-01-06,4,8,HI,US,12,826
OUTLANDER 850,2020-01-06,7,4,HI,US,11,760
OUTLANDER 450,2020-01-06,9,7,HI,US,16,740
OUTLANDER 1000,2020-01-13,11,8,HI,US,19,845
OUTLANDER 850,2020-01-13,1,3,HI,US,4,764
OUTLANDER 450,2020-01-13,6,14,HI,US,20,760
OUTLANDER 1000,2020-01-20,3,4,HI,US,7,852
OUTLANDER 850,2020-01-20,7,8,HI,US,15,779
OUTLANDER 450,2020-01-20,7,12,HI,US,19,779
OUTLANDER 1000,2020-01-27,6,9,HI,US,15,867
OUTLANDER 850,2020-01-27,6,12,HI,US,18,797
OUTLANDER 450,2020-01-27,13,13,HI,US,26,805
OUTLANDER 1000,2020-02-03,15,12,HI,US,27,894
OUTLANDER 850,2020-02-03,13,0,HI,US,13,810
OUTLANDER 450,2020-02-03,3,10,HI,US,13,818
OUTLANDER 1000,2020-02-10,2,3,HI,US,5,899
OUTLANDER 850,2020-02-10,13,11,HI,US,24,834
OUTLANDER 450,2020-02-10,11,4,HI,US,15,833
OUTLANDER 1000,2020-02-17,11,12,HI,US,23,922
OUTLANDER 850,2020-02-17,8,9,HI,US,17,851
OUTLANDER 450,2020-02-17,6,5,HI,US,11,844
OUTLANDER 1000,2020-02-24,7,5,HI,US,12,934
OUTLANDER 850,2020-02-24,5,9,HI,US,14,865
OUTLANDER 450,2020-02-24,14,14,HI,US,28,872
OUTLANDER 1000,2020-03-02,7,13,HI,US,20,954
OUTLANDER 850,2020-03-02,0,8,HI,US,8,873
OUTLANDER 450,2020-03-02,6,8,HI,US,14,886
OUTLANDER 1000,2020-03-09,1,1,HI,US,2,956
OUTLANDER 850,2020-03-09,12,12,HI,US,24,897
OUTLANDER 450,2020-03-09,6,9,HI,US,15,901
OUTLANDER 1000,2020-03-16,8,14,HI,US,22,978
OUTLANDER 850,2020-03-16,10,11,HI,US,21,918
OUTLANDER 450,2020-03-16,8,4,HI,US,12,913
OUTLANDER 1000,2020-03-23,14,15,HI,US,29,1007
OUTLANDER 850,2020-03-23,14,5,HI,US,19,937
OUTLANDER 450,2020-03-23,9,2,HI,US,11,924
OUTLANDER 1000,2020-03-30,7,13,HI,US,20,1027
OUTLANDER 850,2020-03-30,6,8,HI,US,14,951
OUTLANDER 450,2020-03-30,11,1,HI,US,12,936
OUTLANDER 1000,2020-04-06,11,1,HI,US,12,1039
OUTLANDER 850,2020-04-06,7,4,HI,US,11,962
OUTLANDER 450,2020-04-06,11,9,HI,US,20,956
OUTLANDER 1000,2020-04-13,15,13,HI,US,28,1067
OUTLANDER 850,2020-04-13,3,11,HI,US,14,976
OUTLANDER 450,2020-04-13,7,12,HI,US,19,975
OUTLANDER 1000,2020-04-20,10,6,HI,US,16,1083
OUTLANDER 850,2020-04-20,1,14,HI,US,15,991
OUTLANDER 450,2020-04-20,3,13,HI,US,16,991
OUTLANDER 1000,2020-04-27,15,11,HI,US,26,1109
OUTLANDER 850,2020-04-27,2,3,HI,US,5,996
OUTLANDER 450,2020-04-27,7,13,HI,US,20,1011
OUTLANDER 1000,2020-05-04,12,13,HI,US,25,1134
OUTLANDER 850,2020-05-04,14,4,HI,US,18,1014
OUTLANDER 450,2020-05-04,10,12,HI,US,22,1033
OUTLANDER 1000,2020-05-11,15,5,HI,US,20,1154
OUTLANDER 850,2020-05-11,11,13,HI,US,24,1038
OUTLANDER 450,2020-05-11,9,7,HI,US,16,1049
OUTLANDER 1000,2020-05-18,12,1,HI,US,13,1167
OUTLANDER 850,2020-05-18,8,8,HI,US,16,1054
OUTLANDER 450,2020-05-18,3,2,HI,US,5,1054
OUTLANDER 1000,2020-05-25,13,0,HI,US,13,1180
OUTLANDER 850,2020-05-25,4,11,HI,US,15,1069
OUTLANDER 450,2020-05-25,2,6,HI,US,8,1062
OUTLANDER 1000,2020-06-01,11,11,HI,US,22,1202
OUTLANDER 850,2020-06-01,9,11,HI,US,20,1089
OUTLANDER 450,2020-06-01,12,9,HI,US,21,1083
